City,State,Latitude,Longitude,Population,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
Washington,DC,38.913887782,-77.0111866884,2134,77.8,13.3,28.1,3.7,78.3,1.9,70.9,3.1,30.8,28.5,2.7,9.2,13.4,81.3,6.2,5.3,23.4,26.0,85.4,9.0,22.9,88.9,6.3,11.7,35.2,1.9,70.1,9.1
Alexandria,VA,38.8136652847,-77.0649037383,3602,73.8,21.8,19.4,7.3,87.3,2.1,77.8,3.6,48.8,43.9,4.5,7.3,9.5,81.6,6.7,5.9,27.6,33.4,82.9,7.7,21.0,87.6,7.3,12.7,26.8,1.9,78.8,5.6
Washington,DC,38.9056038461,-76.932687989,2347,83.8,27.0,17.0,5.2,76.9,4.3,58.0,9.2,20.7,20.3,7.3,12.5,27.6,57.4,17.2,12.5,44.4,38.5,81.6,14.9,38.3,86.5,15.5,29.9,46.2,6.1,79.9,28.6
Alexandria,VA,38.815429607,-77.1260881863,4720,73.9,22.9,16.0,6.0,78.7,2.8,70.1,5.2,39.7,36.2,5.2,8.9,15.0,65.8,9.9,13.8,32.7,34.3,81.1,10.9,26.9,85.6,10.4,21.5,33.6,2.8,78.0,12.3
Baltimore,MD,39.262587307,-76.635226275,2430,79.3,30.2,13.9,5.4,73.7,4.0,60.6,8.9,29.1,29.0,7.1,14.3,26.6,45.7,16.7,15.5,44.6,37.1,83.9,16.5,42.1,,15.1,35.1,48.1,5.3,79.4,25.3
Baltimore,MD,39.3462013405,-76.5467852612,5412,77.9,26.8,16.8,5.9,79.1,3.0,66.0,6.7,38.5,34.9,6.0,12.0,21.2,58.8,11.7,11.1,37.3,34.1,83.5,13.1,34.8,,11.5,26.8,43.0,3.6,77.7,16.1
Baltimore,MD,39.3141637255,-76.5938519644,1704,80.7,33.8,11.9,5.6,73.6,5.0,56.6,10.5,25.8,24.0,9.0,14.5,28.5,38.9,21.0,17.4,50.9,39.8,85.3,17.2,46.3,,17.7,40.4,50.0,7.2,81.8,32.6
Washington,DC,38.9204186155,-77.0114616349,3198,79.0,12.9,28.4,3.8,80.1,1.8,73.4,2.9,31.6,30.4,2.6,9.1,12.5,83.0,5.9,4.9,22.5,25.0,85.0,8.5,21.9,88.7,5.8,10.9,34.9,1.7,70.4,7.9
Baltimore,MD,39.2985753642,-76.6444050243,1558,82.4,40.1,10.1,7.6,74.8,6.3,58.9,13.0,24.7,23.4,12.9,15.1,27.7,36.4,24.9,20.3,57.0,44.6,82.0,16.9,44.4,,20.0,45.3,48.3,9.8,85.2,37.4
Baltimore,MD,39.3183462617,-76.6685188136,1696,82.1,32.4,12.6,6.4,80.0,4.4,63.5,8.2,29.0,27.9,8.2,13.1,21.8,50.1,18.2,13.4,46.9,36.6,85.4,13.8,41.0,,14.2,33.8,46.7,6.1,82.7,23.3
Washington,DC,38.9216314788,-77.0391808111,4614,73.7,12.4,30.1,3.8,78.2,1.8,69.7,3.3,33.4,30.8,2.8,8.5,14.3,81.1,5.2,6.3,18.9,26.2,81.8,9.3,20.0,87.9,6.4,11.7,32.6,1.6,65.8,8.3
Washington,DC,38.9104297286,-76.9913365682,2037,74.6,15.3,22.7,2.6,58.5,2.8,51.5,6.8,18.5,18.5,4.2,12.3,27.6,56.6,9.7,13.0,26.5,29.0,82.3,18.0,30.5,83.2,12.2,24.6,41.5,3.4,67.7,29.5
Alexandria,VA,38.8341143836,-77.0559966466,2844,70.6,19.0,19.1,4.5,77.0,2.3,68.9,4.5,35.6,35.1,4.0,8.8,16.8,65.6,8.8,15.5,29.0,31.1,83.9,11.3,28.4,86.1,10.0,20.3,34.3,2.4,74.0,13.6
Washington,DC,38.8753463575,-76.9553331484,2249,87.7,27.0,16.8,7.6,88.0,3.7,73.5,5.8,30.4,29.5,6.5,10.3,13.5,79.0,14.1,5.7,44.6,38.1,83.9,8.6,29.0,89.3,9.8,18.0,38.2,4.4,84.6,11.7
Washington,DC,38.8986055682,-76.9910793891,2149,77.9,17.0,26.6,5.3,80.6,2.3,73.3,3.8,32.3,28.9,3.7,9.1,13.3,81.9,7.3,5.0,26.3,29.6,82.5,8.9,21.4,88.0,6.9,12.7,32.9,2.4,75.9,9.5
Baltimore,MD,39.3631713534,-76.6203783706,6103,75.7,24.8,19.8,7.4,86.7,2.3,75.2,4.5,48.5,45.7,5.1,9.1,11.3,78.3,7.9,4.6,29.6,34.9,83.7,8.5,24.0,,7.4,15.2,32.1,2.2,78.7,5.8
Washington,DC,38.9418249919,-77.0029267109,5797,75.8,16.0,24.8,3.4,63.2,2.6,60.1,5.9,24.7,21.4,4.1,11.5,22.5,66.2,8.9,11.3,26.4,29.6,82.5,15.0,26.4,83.9,10.3,21.2,38.6,3.1,71.8,23.2
Washington,DC,38.9761415355,-77.0272135707,3187,80.2,21.8,21.5,5.3,78.6,3.3,65.0,6.1,26.7,24.2,5.5,10.3,18.6,71.1,11.9,9.2,34.9,34.9,82.9,11.3,28.9,87.6,10.8,20.2,38.5,3.9,78.1,17.0
Baltimore,MD,39.3303770464,-76.6723439253,6572,83.0,32.3,13.2,6.8,80.2,4.1,68.1,7.6,31.6,31.1,7.8,12.8,19.9,55.2,17.6,12.0,49.6,38.8,85.6,12.6,39.2,,13.0,31.0,45.5,5.4,83.8,19.2
Washington,DC,38.923413086,-76.9987667506,2557,82.2,27.0,17.0,5.5,74.7,4.4,58.9,9.3,21.0,19.9,7.5,12.7,25.8,58.3,16.6,13.7,42.7,38.9,81.5,15.0,35.6,86.4,15.4,29.4,43.8,6.1,80.1,28.8
Alexandria,VA,38.8272323814,-77.0986800903,3571,70.9,16.2,21.3,4.8,80.5,1.7,75.5,3.1,47.3,44.6,3.0,7.8,11.4,76.9,5.5,8.4,22.3,27.7,82.6,9.0,22.3,87.3,6.8,13.3,30.2,1.5,71.4,6.5
Washington,DC,38.9061877176,-77.0696162292,5425,73.7,12.2,30.8,3.9,69.9,1.6,72.1,3.5,38.8,34.2,2.9,8.8,12.2,84.0,4.1,4.5,15.8,25.4,79.3,10.0,15.6,82.4,5.7,10.1,29.0,1.4,67.1,7.4
Baltimore,MD,39.3180396778,-76.6935665461,2282,81.2,27.8,14.4,5.6,77.7,3.5,66.8,6.7,32.7,32.8,6.3,12.9,20.7,55.0,14.8,12.0,43.4,35.1,85.3,13.3,38.8,,12.0,29.1,45.9,4.4,80.3,18.7
Baltimore,MD,39.2829927456,-76.6142755894,4025,72.3,22.6,21.0,6.5,78.0,2.4,73.5,4.9,44.3,40.8,5.2,9.5,14.1,70.8,7.9,7.1,28.9,33.1,82.9,10.0,23.9,,7.9,17.6,33.6,2.5,76.7,8.9
Richmond,VA,37.5204035996,-77.3947374292,1567,74.0,24.5,14.3,4.1,67.8,3.7,53.3,8.9,24.8,26.9,6.2,12.7,29.5,47.0,14.5,22.8,37.4,33.9,83.6,19.0,41.8,83.3,16.9,35.2,45.9,4.7,75.2,28.8
Washington,DC,38.9307337568,-76.9863910021,3143,81.6,20.6,22.5,5.8,82.4,2.8,70.4,5.0,30.2,28.1,4.8,9.9,15.1,78.6,10.0,6.3,32.5,33.4,83.0,9.6,25.2,87.5,8.8,16.1,36.0,3.2,78.7,11.9
Washington,DC,38.9072747639,-77.0293193313,6021,72.7,11.8,30.3,3.3,73.4,1.8,67.8,3.4,30.3,29.5,2.7,8.5,15.7,78.1,5.4,7.7,19.5,26.2,82.4,9.9,21.3,87.1,6.7,13.1,33.6,1.6,64.6,10.2
Washington,DC,38.9026943635,-77.0318452229,2621,74.1,12.6,28.8,4.3,78.5,1.8,70.0,3.0,35.9,28.7,3.0,7.7,12.5,82.1,4.9,5.4,18.3,25.4,81.0,8.4,17.5,86.4,5.7,11.3,31.7,1.7,68.0,8.1
Baltimore,MD,39.295098811,-76.5909206602,1183,78.9,29.0,15.2,6.6,76.7,3.6,69.4,6.8,33.8,33.8,6.8,11.8,18.5,59.3,14.4,11.2,45.4,39.4,84.8,11.9,33.7,,11.4,27.1,41.5,4.4,82.3,16.5
Baltimore,MD,39.3011752025,-76.6257102129,3145,78.7,34.0,11.5,5.2,69.3,5.2,53.3,12.1,23.6,22.4,9.4,15.8,31.8,34.6,21.4,19.7,49.8,40.8,84.7,20.0,46.7,,19.7,43.2,50.1,7.7,81.0,36.9
Richmond,VA,37.519347418,-77.4072825594,1432,77.3,26.2,14.1,4.9,74.7,3.7,61.5,7.7,24.2,29.3,6.1,11.7,23.9,55.8,15.5,18.3,41.1,35.4,85.1,15.4,40.4,84.9,14.9,31.4,44.2,4.7,80.1,22.6
Baltimore,MD,39.2740126516,-76.6134846708,2172,66.5,12.6,29.5,3.8,73.5,1.3,74.2,2.8,49.2,46.3,2.4,8.9,13.6,75.6,3.5,6.1,16.4,22.7,82.6,9.7,20.1,,5.2,12.2,32.1,1.1,61.3,6.5
Baltimore,MD,39.2672675468,-76.6478040104,2324,70.8,30.3,17.3,6.2,72.6,3.5,57.4,10.7,34.9,31.3,8.3,12.7,29.4,47.8,12.5,15.2,35.3,38.8,78.6,17.5,33.8,,15.9,33.4,41.3,4.5,75.9,24.7
Baltimore,MD,39.3629035718,-76.6385987483,2791,75.8,23.9,19.6,7.5,87.5,2.2,77.6,4.0,51.0,48.1,5.0,8.5,9.8,80.1,7.3,4.1,28.1,34.5,83.4,7.6,21.8,,6.7,13.9,31.5,2.0,78.7,4.6
Washington,DC,38.8827717965,-76.9388145143,2836,83.1,25.1,16.2,4.5,71.9,4.2,54.7,9.2,19.5,18.1,6.4,14.0,29.3,54.1,15.5,13.6,41.0,35.8,82.4,17.2,38.9,87.3,16.0,30.8,47.4,5.8,76.7,32.5
Alexandria,VA,38.8364282407,-77.0724624991,2871,72.7,21.9,18.7,6.6,87.2,2.2,75.1,4.2,47.5,44.3,4.6,7.6,11.4,77.6,7.2,7.8,26.2,32.9,82.2,8.6,23.5,87.1,8.3,14.7,28.6,2.0,76.6,7.0
Washington,DC,38.9411658189,-77.0561258835,6857,75.6,14.7,28.2,5.4,82.0,1.8,74.9,3.1,40.9,34.8,3.2,8.1,10.6,86.3,4.7,3.7,18.8,27.8,80.5,7.9,16.7,87.9,5.5,9.6,29.2,1.5,70.8,5.1
Richmond,VA,37.5776418577,-77.5294775622,5439,67.7,11.7,27.0,3.6,66.9,1.3,74.5,3.1,42.2,44.8,2.7,8.4,12.1,81.0,3.8,8.5,15.3,22.4,82.0,10.9,17.9,80.4,5.8,12.6,29.6,1.1,66.5,7.5
Baltimore,MD,39.3155261467,-76.6036966029,3073,80.3,33.5,12.0,5.5,73.1,4.9,55.8,10.6,25.0,24.6,8.9,14.9,29.1,38.6,20.6,17.9,49.8,39.4,84.6,17.8,45.8,,17.9,40.5,50.1,7.1,81.2,33.1
Baltimore,MD,39.3207808211,-76.6587906404,1543,82.3,35.3,11.7,6.8,77.7,5.0,61.5,9.7,27.2,26.2,9.3,13.7,23.9,45.3,20.6,15.0,51.8,40.2,84.7,14.9,43.1,,16.2,37.3,47.5,7.1,83.7,26.9
Baltimore,MD,39.3057013244,-76.5820327098,2084,81.2,31.7,13.1,5.8,75.3,4.3,61.9,8.8,27.6,28.0,8.1,13.8,25.4,45.9,18.6,15.3,49.2,38.8,84.6,15.3,42.8,,15.1,35.9,48.7,6.0,81.8,26.3
Baltimore,MD,39.3128158716,-76.6678750764,2359,82.6,32.1,12.9,6.4,80.2,4.2,65.2,7.8,30.1,29.7,7.8,13.0,21.2,52.4,17.8,12.6,47.9,37.4,85.8,13.3,40.3,,13.5,32.5,46.3,5.6,83.1,21.4
Baltimore,MD,39.2908745185,-76.6588420578,2969,81.4,34.6,12.2,6.2,74.9,4.9,59.8,10.3,25.6,25.5,9.7,14.2,26.9,41.7,21.0,17.0,51.7,40.7,84.1,16.2,44.0,,17.0,39.4,48.9,7.2,82.8,30.6
Alexandria,VA,38.8235664971,-77.0544032467,3105,70.8,16.6,21.9,5.2,84.0,1.7,76.9,2.8,44.5,43.3,3.0,7.5,10.0,80.2,5.5,6.5,23.0,28.2,84.2,8.1,22.3,88.8,6.4,11.7,28.7,1.5,72.8,5.6
Washington,DC,38.9241066882,-77.0778120531,3364,72.8,12.2,30.4,4.0,78.2,1.6,71.8,3.3,38.2,33.0,2.5,8.8,14.2,82.2,4.0,5.2,15.0,23.6,80.2,9.9,18.0,87.2,6.0,10.9,31.2,1.3,63.1,7.2
Baltimore,MD,39.3637083346,-76.7064927814,4367,76.8,28.8,15.5,6.4,77.0,3.5,66.1,7.4,35.8,33.3,7.1,11.4,19.4,56.9,13.7,12.7,39.7,37.5,83.7,12.8,34.3,,12.3,28.5,41.0,4.3,80.2,17.3
Baltimore,MD,39.2873081827,-76.6329976781,1909,73.7,22.4,17.9,4.1,74.1,2.8,61.3,6.4,33.3,32.2,5.1,12.1,24.0,52.6,11.0,12.9,32.9,30.9,85.1,14.6,36.3,,11.6,27.3,44.0,3.3,72.9,18.5
Baltimore,MD,39.263276846,-76.6034159459,2571,68.0,14.9,28.2,4.6,76.0,1.4,76.2,3.1,51.2,48.3,2.8,8.8,13.2,77.1,4.0,5.6,19.2,25.7,81.7,9.2,20.2,,5.4,12.4,32.0,1.2,65.8,5.9
Washington,DC,38.9168035115,-77.0341509587,3255,75.2,13.2,29.1,4.2,78.8,1.9,72.3,3.0,32.7,30.0,2.9,8.3,12.4,82.7,5.7,5.2,21.0,26.7,83.0,8.5,20.0,88.8,5.9,11.1,32.1,1.8,69.9,8.1
Washington,DC,38.9041360314,-77.0136463819,3986,79.4,21.2,18.4,4.6,73.3,3.6,58.0,7.0,22.8,20.4,5.7,11.5,23.2,61.8,12.6,11.2,33.6,34.1,80.5,14.0,29.2,85.5,12.3,25.2,41.7,4.4,76.1,23.2
Baltimore,MD,39.288635775,-76.5920299436,2087,68.7,14.5,24.0,3.8,73.1,1.7,70.2,3.2,44.3,40.7,3.0,8.8,13.4,69.7,5.7,9.7,21.7,26.5,83.3,9.8,24.6,,6.5,16.5,35.0,1.5,66.1,8.4
Washington,DC,38.9344557666,-77.0416616176,5233,74.9,15.3,26.6,4.3,77.4,2.3,67.7,4.3,30.5,26.1,3.7,9.0,16.2,76.5,7.1,8.0,22.8,28.6,81.5,10.3,22.8,87.4,8.0,15.1,34.3,2.3,70.4,12.2
Washington,DC,38.9301828499,-77.0418207603,5226,73.3,13.8,28.9,3.9,77.0,2.0,66.9,4.0,31.3,28.1,3.2,8.7,16.4,77.8,6.1,7.8,19.8,27.7,80.9,10.3,21.4,87.0,7.5,14.1,33.0,1.8,66.8,10.7
Washington,DC,38.857466985,-76.9850581951,2587,83.0,22.3,18.8,4.4,75.0,3.5,60.3,7.2,22.5,21.8,5.3,12.6,25.8,62.0,13.2,11.3,39.3,34.3,82.7,14.5,36.0,87.9,13.0,25.5,45.8,4.5,76.1,24.4
Richmond,VA,37.5269899817,-77.4120283973,1410,71.4,19.5,20.7,4.8,78.9,2.3,69.0,4.9,35.0,38.6,4.4,8.9,17.2,71.5,8.9,10.9,27.7,30.3,84.7,11.4,29.1,85.1,9.5,19.3,35.7,2.5,76.0,11.5
Baltimore,MD,39.2887712175,-76.5887715623,1884,68.1,15.6,25.2,4.3,75.5,1.7,71.8,3.6,46.3,43.0,3.2,9.4,14.8,71.3,5.0,7.8,19.9,25.7,82.9,10.4,23.2,,6.6,15.4,33.9,1.5,65.7,8.4
Washington,DC,38.949133736,-77.0232932042,3442,82.1,21.5,21.0,5.5,81.4,3.2,68.1,5.4,27.3,26.1,5.3,10.0,16.7,73.9,11.8,9.4,34.8,33.9,82.9,10.2,28.6,87.7,10.0,19.6,38.8,3.7,78.9,15.3
Washington,DC,38.9060811983,-77.0607838311,4890,77.8,17.4,27.3,6.8,86.2,2.0,76.9,3.4,43.7,38.4,3.9,7.7,9.2,88.7,5.3,3.0,21.7,31.6,80.5,7.0,16.6,88.6,5.6,9.0,27.4,1.7,74.7,4.2
Washington,DC,38.9452742147,-77.0425303053,2166,82.9,21.0,22.2,7.1,88.6,2.6,75.8,3.8,36.3,31.9,4.8,8.4,9.6,86.4,8.8,3.7,32.7,35.0,83.7,6.9,21.4,89.3,6.9,11.7,31.7,2.7,80.8,6.3
Alexandria,VA,38.8219433941,-77.0616812554,4199,70.2,16.4,21.7,5.1,83.3,1.7,75.4,3.0,47.6,44.3,2.9,7.4,10.1,79.8,5.2,7.9,21.8,28.5,83.6,8.2,21.8,88.3,6.6,12.2,28.2,1.4,71.6,5.8
Washington,DC,38.9187397669,-76.9889803818,4127,84.0,24.8,17.3,5.3,77.7,3.9,61.5,7.5,23.2,21.2,6.3,12.1,22.0,64.6,14.6,10.1,40.6,35.9,83.2,13.3,34.4,88.3,13.1,25.0,43.3,5.2,79.2,23.2
Washington,DC,38.9175532799,-77.0756590546,6233,72.9,11.5,31.3,3.9,75.7,1.5,73.1,2.9,40.3,35.0,2.4,8.5,11.7,84.9,3.6,4.0,14.9,24.2,80.6,9.1,16.5,86.3,5.3,9.2,29.2,1.2,63.4,5.7
Richmond,VA,37.5440885373,-77.5228277023,3836,75.7,25.6,18.0,8.0,85.6,2.7,72.8,5.3,40.6,42.2,6.2,7.9,13.1,78.6,9.4,8.2,32.9,36.7,83.2,9.1,25.4,85.3,9.4,18.2,31.5,2.8,81.5,8.2
Washington,DC,38.9525006088,-77.0310820002,3813,81.3,21.3,21.1,5.5,81.2,3.1,67.7,5.5,28.1,26.0,5.1,10.1,16.6,74.7,11.1,8.6,33.8,33.9,82.8,10.4,27.9,87.8,10.0,18.7,37.9,3.6,78.2,14.8
Baltimore,MD,39.344888724,-76.563853084,1764,76.0,25.2,18.8,5.6,80.1,2.7,66.4,6.2,41.3,38.3,5.6,11.3,20.9,62.0,10.5,9.9,33.9,33.6,82.6,12.7,32.9,,10.7,24.4,41.6,3.0,76.4,13.8
Baltimore,MD,39.3078188641,-76.6361978616,2333,79.1,31.7,12.6,5.1,72.9,4.6,57.2,10.1,25.1,25.4,8.4,14.5,28.7,40.1,19.6,17.2,47.6,38.6,84.9,17.6,45.2,,17.2,38.6,49.3,6.5,80.4,30.5
Baltimore,MD,39.3512326866,-76.5540332107,3229,76.7,26.3,18.0,6.2,81.3,2.8,68.1,6.3,42.5,37.3,5.8,11.2,19.3,63.7,10.5,9.2,34.7,34.2,83.1,12.1,31.9,,10.6,23.7,40.4,3.1,77.6,13.0
Baltimore,MD,39.2864517356,-76.5586445354,2260,68.9,23.5,20.5,5.4,69.0,2.8,63.5,7.1,38.1,35.8,6.3,10.5,22.4,55.4,9.5,17.2,31.4,36.5,79.4,13.9,30.4,,11.8,27.3,38.2,3.0,72.4,17.6
Alexandria,VA,38.8261060603,-77.1164492983,3103,69.9,14.3,20.9,3.8,76.5,1.7,71.1,3.1,43.3,41.2,2.5,8.3,14.0,71.1,5.6,12.1,22.4,25.7,82.8,10.1,24.6,86.4,7.3,15.8,33.5,1.5,67.6,9.1
Richmond,VA,37.534907625,-77.4643147815,3100,75.6,26.1,14.3,5.1,68.8,4.1,59.4,8.0,23.3,26.0,6.9,11.3,22.7,53.3,16.3,19.3,40.5,36.2,85.3,15.5,37.4,82.8,15.0,32.7,42.2,5.5,81.1,27.2
Baltimore,MD,39.2786758478,-76.5388370872,1465,73.2,27.7,14.4,4.8,68.4,3.8,53.5,9.7,30.9,27.6,6.9,14.1,29.0,41.3,13.5,19.6,36.1,35.3,82.6,19.1,40.1,,16.4,37.0,45.8,4.6,73.7,28.7
Washington,DC,38.8686898335,-77.0114952748,2139,82.0,28.0,15.6,5.2,72.3,4.9,53.5,10.8,19.2,16.9,7.8,13.9,29.3,52.6,17.4,14.1,43.3,38.9,81.8,17.4,38.1,86.5,17.6,32.3,45.7,6.9,78.8,34.5
Washington,DC,38.8610018457,-76.9794089411,2451,82.5,25.0,16.5,4.3,70.5,4.2,53.2,9.5,19.1,18.4,6.5,13.6,30.8,52.1,16.1,13.8,43.0,37.3,81.9,17.3,40.1,86.7,16.3,31.3,47.9,5.9,76.7,33.5
Baltimore,MD,39.3170466354,-76.5758917328,2508,79.6,28.4,14.1,4.8,73.4,3.8,61.2,8.2,28.0,28.6,6.5,14.0,26.9,44.3,16.3,15.6,43.1,34.9,84.9,16.4,43.6,,14.5,35.1,49.4,5.1,78.1,25.5
Washington,DC,38.9606051096,-77.0630932091,2998,81.2,23.1,21.3,8.5,87.4,2.8,74.3,4.8,38.4,31.9,5.9,8.0,10.3,85.5,8.0,4.1,30.3,37.0,80.3,7.4,18.5,87.3,7.7,13.0,28.6,2.8,80.4,7.0
Washington,DC,38.9491918358,-76.9949630488,2940,85.8,25.2,18.0,6.8,85.3,3.5,70.7,5.8,28.2,26.9,6.1,10.4,15.7,75.7,13.4,7.4,41.2,36.1,83.5,9.5,28.9,88.6,10.1,19.8,39.0,4.4,82.8,14.4
Baltimore,MD,39.3438900539,-76.5353618585,4763,77.1,26.4,17.4,5.7,79.0,2.9,66.5,6.7,38.0,35.8,5.9,11.9,21.6,58.9,11.5,11.1,36.7,34.3,83.3,13.1,34.6,,11.4,26.4,42.8,3.4,77.2,15.3
Richmond,VA,37.5390893985,-77.4512247166,1179,64.1,12.5,24.3,2.9,62.4,1.7,62.9,4.2,34.2,36.4,2.8,8.9,18.5,68.2,4.6,12.3,17.3,24.0,82.1,14.0,24.3,80.9,8.4,17.8,33.8,1.5,60.0,12.8
Baltimore,MD,39.3227814311,-76.6064925009,1586,77.9,27.9,14.7,4.7,71.8,3.6,59.0,8.4,28.6,28.3,6.3,14.3,28.3,44.3,15.2,16.3,42.1,35.1,84.4,17.1,42.1,,14.8,35.1,48.7,4.8,77.2,26.6
Baltimore,MD,39.3224228585,-76.644531893,2011,80.1,30.6,13.3,5.1,74.5,4.2,58.2,8.9,26.7,25.9,7.6,13.9,26.8,43.8,18.3,15.5,47.4,37.6,85.5,16.2,44.2,,15.6,36.3,49.3,5.8,80.5,27.4
Washington,DC,38.8855369235,-76.9616033731,2486,83.3,27.6,16.4,4.9,74.7,4.4,55.5,10.3,19.5,19.2,7.1,14.0,31.3,53.1,17.3,14.1,43.9,38.1,81.7,17.1,39.7,86.0,17.1,32.5,48.0,6.3,78.8,32.6
Washington,DC,38.9134044458,-77.0430359212,2771,72.8,10.0,33.7,3.6,79.6,1.3,75.3,2.3,40.6,36.7,2.1,7.7,10.6,87.1,3.3,3.6,14.1,23.0,81.8,7.7,15.9,88.2,4.4,7.8,29.3,1.0,61.6,4.1
Baltimore,MD,39.2998546531,-76.6022646856,2767,80.5,35.4,10.7,5.8,71.1,5.3,56.4,12.0,23.4,23.1,9.3,16.5,31.0,35.4,21.5,20.2,50.9,40.7,83.7,19.5,46.3,,19.5,43.9,50.5,7.8,81.6,36.3
Baltimore,MD,39.2791487211,-76.574111863,3022,69.9,19.3,24.5,5.8,78.8,2.0,75.0,4.1,47.9,42.4,4.2,9.3,14.4,73.4,5.8,6.4,22.6,28.4,81.9,10.1,22.3,,6.9,15.4,32.7,1.9,72.3,7.9
Alexandria,VA,38.8170867485,-77.097500358,1572,77.3,25.6,15.9,8.8,90.4,2.4,78.6,3.9,50.2,46.6,5.5,7.1,7.5,83.1,8.1,4.8,32.5,38.2,83.5,6.7,21.0,87.5,7.5,12.7,25.5,2.2,82.5,4.5
Baltimore,MD,39.2371455743,-76.6070212373,3823,70.0,26.6,18.6,5.2,70.3,3.1,57.6,9.1,34.9,32.2,6.9,12.3,28.9,48.0,11.4,16.9,34.0,36.8,78.9,17.1,34.5,,14.6,32.2,42.4,3.7,73.3,22.8
Washington,DC,38.9717869213,-77.016065966,2644,80.6,18.8,23.9,5.6,83.1,2.5,72.5,4.3,32.7,31.1,4.1,9.6,14.1,81.3,8.4,5.5,29.8,31.8,82.8,9.1,23.7,88.5,7.7,14.0,35.1,2.6,77.1,9.8
Baltimore,MD,39.3296442421,-76.5501119135,5116,78.5,23.8,16.9,4.8,75.1,2.8,65.7,5.8,34.7,34.1,5.2,12.2,21.1,57.1,11.7,11.7,38.5,33.1,85.1,13.1,36.2,,10.7,26.4,45.2,3.4,76.4,16.5
Washington,DC,38.95724392,-77.0776735816,4779,80.2,20.1,24.1,7.7,88.2,2.3,76.4,3.7,42.3,36.1,4.5,7.8,8.9,88.7,6.4,2.9,25.3,34.5,81.0,6.8,17.0,87.9,6.2,10.1,27.4,2.0,78.0,4.6
Washington,DC,38.9409336923,-76.9930948758,3025,83.9,23.9,20.3,6.9,82.6,3.3,71.8,5.5,30.8,27.1,5.7,10.0,15.1,77.9,11.6,6.5,40.0,36.9,82.9,9.2,26.0,88.2,9.3,17.8,36.9,3.9,82.0,12.5
Richmond,VA,37.5328651786,-77.4236837775,3851,67.1,12.3,23.0,3.0,69.1,1.7,66.0,3.3,33.4,35.7,2.5,8.5,15.6,70.6,5.4,11.2,19.5,23.1,86.1,11.6,25.5,83.9,7.2,16.6,34.9,1.5,64.7,10.8
Washington,DC,38.9619641461,-77.00519921,2630,86.1,25.9,17.8,7.1,85.1,3.6,71.6,5.9,29.2,27.5,6.2,10.4,15.0,76.5,13.5,7.3,42.1,37.0,83.0,9.2,28.5,88.5,10.1,19.6,38.5,4.4,83.3,13.9
Baltimore,MD,39.3329502873,-76.5684382093,1698,75.8,26.8,17.1,5.8,79.6,3.0,66.0,7.0,39.0,35.4,5.9,11.9,20.7,60.1,11.1,10.2,34.7,34.7,83.0,13.3,33.4,,11.7,25.3,40.8,3.4,76.7,15.3
Washington,DC,38.8272004446,-77.0045793122,2507,82.4,23.1,17.5,3.9,72.0,3.8,54.5,8.4,19.7,18.3,5.6,13.5,29.9,54.5,14.4,12.9,38.5,33.8,83.4,17.0,39.3,86.9,15.1,29.4,48.0,5.1,74.6,30.2
Richmond,VA,37.5701621785,-77.4846909569,2577,71.9,22.7,20.2,7.0,81.0,2.5,72.7,5.1,39.4,39.9,5.4,8.2,14.3,76.6,8.0,9.2,27.7,32.8,82.8,10.2,24.3,84.9,9.1,17.9,31.2,2.6,78.6,9.5
Washington,DC,38.8591091436,-76.9585463501,4044,84.2,25.8,17.5,5.7,81.3,3.9,64.2,7.7,24.9,23.2,6.5,12.0,22.7,65.5,14.7,10.1,40.1,35.8,82.8,12.9,34.3,87.6,13.1,24.9,43.2,5.1,79.7,21.5
Baltimore,MD,39.2771141305,-76.7003721688,3626,79.2,26.3,15.4,4.7,76.9,3.2,63.7,6.8,32.1,32.5,5.5,13.2,23.3,52.7,13.6,12.4,39.5,33.1,85.5,14.6,40.0,,12.4,29.5,47.2,3.9,77.4,18.2
Washington,DC,38.8836356994,-76.9873508943,2179,77.1,15.0,29.1,4.9,83.5,1.9,75.0,3.2,37.3,32.0,3.0,8.5,12.3,85.4,5.8,4.0,22.6,28.1,83.6,8.2,20.1,89.3,5.9,10.3,32.0,1.8,72.8,6.6
Washington,DC,38.8838117539,-77.0033906634,2531,75.4,14.3,29.6,4.9,82.4,1.7,74.2,3.1,40.3,35.7,3.0,8.2,11.2,86.2,4.8,3.5,18.7,27.7,82.0,8.2,18.0,88.5,5.6,9.4,29.7,1.5,69.6,5.1
Washington,DC,38.8882874396,-76.9211942041,1851,84.0,23.3,18.7,5.1,77.5,3.6,62.8,6.9,24.3,22.4,5.6,12.3,22.0,66.2,13.2,10.0,38.0,33.6,82.9,13.1,33.2,87.8,12.1,23.8,43.6,4.6,78.1,22.1
