Location,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
"Oklahoma City, OK",67.7,24.5,12.8,5.7,70.6,3.0,59.4,7.2,36.7,36.4,6.6,10.2,19.0,59.1,10.7,18.7,32.6,36.2,79.0,14.5,32.7,83.5,14.0,29.5,34.3,3.4,74.8,17.7
"Ogden, UT",61.1,23.1,12.9,5.3,60.1,2.9,63.0,5.7,28.9,30.0,5.5,9.6,13.9,64.8,9.5,19.6,27.4,36.3,73.8,14.5,36.1,77.0,13.8,26.2,34.2,3.0,66.5,17.0
"Lancaster, CA",65.4,19.0,17.6,4.8,71.4,3.0,59.7,6.4,25.9,31.1,5.2,9.4,16.9,56.3,10.4,15.8,28.2,32.6,79.1,14.5,29.0,85.4,13.9,22.7,38.8,3.2,67.2,15.0
"Charleston, WV",80.6,35.2,12.5,7.3,81.1,3.3,70.3,10.3,47.8,39.7,8.9,10.8,21.8,62.0,13.5,8.8,39.5,37.1,80.7,14.5,37.0,86.2,15.6,25.3,39.6,3.7,80.7,21.7
"Salinas, CA",60.4,16.3,16.5,4.2,63.9,3.0,53.9,5.7,27.3,24.0,5.2,9.2,16.7,52.4,10.7,24.9,25.5,33.9,75.8,14.5,30.8,82.9,14.1,28.1,35.2,2.8,65.2,16.6
"Santa Ana, CA",60.7,15.5,15.7,3.7,62.9,3.0,55.5,5.4,30.1,25.0,5.0,8.9,16.4,50.3,11.3,25.8,25.0,33.7,78.1,14.5,27.6,81.5,14.9,27.3,35.8,2.6,63.4,16.2
"Medford, OR",63.3,27.6,18.1,7.4,70.1,3.3,63.5,8.1,32.9,28.6,7.5,10.9,21.2,59.8,10.3,13.2,30.4,38.6,74.1,14.4,28.1,80.6,13.8,18.8,33.7,3.8,73.5,15.9
"Lake Charles, LA",75.5,27.5,16.8,6.2,72.8,3.6,59.3,8.4,25.6,27.9,7.7,9.7,23.2,53.8,14.0,17.0,41.5,39.2,79.8,14.4,39.1,83.6,14.8,31.7,41.3,4.6,81.9,21.6
"Gastonia, NC",73.8,27.5,13.8,6.6,77.4,3.4,63.1,8.2,34.4,32.3,7.6,9.4,21.5,55.5,12.6,19.5,37.6,38.4,79.0,14.4,33.8,85.3,15.0,27.7,37.3,4.2,78.6,20.6
"Stockton, CA",62.7,20.6,15.6,4.9,68.2,3.3,61.6,6.5,31.4,27.0,6.1,9.5,16.3,56.1,11.9,17.5,30.6,35.1,80.9,14.4,30.5,82.8,14.4,27.8,37.6,3.4,69.8,17.8
"Lafayette, IN",64.1,24.5,16.5,5.9,68.8,2.8,62.8,7.3,33.7,26.3,6.3,10.8,21.9,58.8,9.4,13.9,28.8,36.7,75.9,14.4,32.2,78.0,12.9,26.4,34.3,3.1,73.9,18.4
"Miami Gardens, FL",80.4,20.7,14.1,5.0,73.2,3.7,52.4,7.5,20.1,20.2,6.4,9.4,20.4,52.5,14.4,29.2,37.6,35.8,85.5,14.4,33.6,82.7,14.7,40.7,41.2,4.6,79.7,21.6
"Bridgeport, CT",69.6,22.1,15.9,5.0,71.9,3.1,63.6,6.1,26.7,26.1,5.7,10.4,18.6,61.0,11.3,16.9,30.2,34.6,82.9,14.4,31.7,,14.1,28.1,40.2,3.3,71.9,14.1
"Westland, MI",71.4,30.1,21.6,7.3,76.9,3.0,66.4,8.9,33.2,32.0,7.0,11.1,22.9,69.1,9.6,11.6,33.6,38.0,78.9,14.4,32.8,83.3,13.9,23.9,40.1,3.4,75.5,13.1
"Warner Robins, GA",75.6,24.4,14.8,5.3,74.5,3.0,59.4,7.5,32.9,30.8,5.9,9.5,22.6,58.6,11.6,20.1,36.2,34.3,81.0,14.4,33.6,83.2,13.6,31.0,39.1,3.5,73.8,20.8
"Cicero, IL",63.2,18.1,21.2,3.8,63.9,3.2,46.1,5.8,26.7,20.4,5.3,9.4,19.5,46.1,11.0,31.6,27.4,35.0,75.4,14.4,36.1,84.5,15.0,34.4,36.3,2.8,65.8,19.9
"New Britain, CT",73.1,24.4,16.5,5.6,72.2,3.1,63.6,7.1,31.3,28.5,6.4,11.3,19.3,67.4,11.1,14.9,31.5,36.1,82.6,14.4,30.4,,13.9,30.7,36.8,3.3,72.2,16.6
"Deltona, FL",74.4,25.6,16.8,6.5,76.5,3.3,59.9,8.7,26.4,33.6,7.4,8.3,21.0,55.6,12.2,23.9,32.5,38.2,80.1,14.4,33.6,79.5,15.3,34.3,38.1,3.5,76.8,17.7
"New Haven, CT",71.7,20.7,15.7,4.7,70.1,2.8,68.0,6.3,26.7,26.4,4.8,11.2,18.6,66.3,10.3,13.9,30.7,31.9,84.7,14.3,32.0,,12.2,26.1,40.5,3.1,70.5,16.9
"Savannah, GA",76.8,25.4,14.8,5.3,72.3,3.3,63.1,7.6,30.1,29.9,6.0,10.0,21.3,56.4,12.8,20.8,38.1,35.3,83.6,14.3,33.7,83.7,13.6,31.5,41.3,4.1,75.8,21.7
"Nampa, ID",56.5,22.2,15.2,5.8,63.9,3.0,51.3,6.5,34.4,23.8,6.2,10.0,19.1,58.1,9.4,23.0,28.6,37.3,67.4,14.3,33.6,77.2,13.1,25.3,32.9,3.3,63.7,19.1
"Louisville, KY",75.8,28.5,18.1,6.7,73.9,3.2,66.8,9.4,43.1,36.4,8.1,12.3,23.2,62.8,11.5,8.3,39.7,37.8,82.2,14.3,34.2,86.2,14.3,26.3,37.9,3.7,78.3,18.5
"Brownsville, TX",64.6,21.9,14.2,4.5,64.7,4.0,47.2,6.3,21.8,20.2,7.1,8.8,17.5,46.9,15.9,41.6,32.0,38.2,75.5,14.3,43.8,81.8,16.5,38.6,35.0,3.7,74.1,19.8
"West Valley City, UT",59.7,19.4,14.4,4.5,60.9,2.7,62.4,5.1,29.1,28.9,4.6,9.6,14.1,61.4,8.7,21.1,24.3,34.0,75.9,14.3,29.2,76.6,12.3,21.5,33.4,2.7,65.7,16.7
"Palm Bay, FL",77.1,27.5,16.8,7.0,78.0,3.3,59.7,8.9,32.0,27.9,7.7,8.6,21.7,55.1,13.1,20.8,33.5,39.4,76.9,14.3,29.7,79.0,15.3,31.3,37.4,3.9,78.9,16.8
"Tulsa, OK",70.1,25.8,12.8,6.3,70.7,3.1,59.6,7.4,43.0,31.4,6.7,10.3,19.3,58.5,10.9,17.8,35.4,37.4,76.0,14.3,30.3,81.9,14.4,30.2,33.9,3.6,76.5,19.9
"Little Rock, AR",73.5,26.0,15.4,6.1,75.1,3.0,70.4,6.7,42.6,31.4,6.2,9.3,19.9,65.9,11.4,11.9,37.2,37.0,78.4,14.2,34.2,,13.9,28.9,36.5,3.4,77.9,15.3
"Laredo, TX",64.3,19.8,15.5,3.9,63.4,3.7,44.2,5.7,22.1,18.5,6.3,8.6,17.4,44.9,14.7,41.5,29.6,36.0,76.2,14.2,40.7,82.4,16.0,38.1,35.4,3.2,71.4,20.1
"Shreveport, LA",75.6,28.3,14.8,6.1,73.1,3.6,58.8,8.2,27.2,28.5,7.7,9.9,23.2,49.6,14.1,17.2,42.8,39.1,81.9,14.2,42.6,86.0,14.7,31.4,38.1,4.6,81.7,21.8
"Columbia, MO",67.3,20.6,20.2,4.6,63.4,2.1,64.1,5.5,44.1,38.4,4.2,9.8,18.2,65.7,6.9,13.5,23.4,30.9,78.2,14.2,28.1,80.2,10.6,21.4,31.7,2.1,70.5,12.9
"Gresham, OR",60.0,22.4,19.0,6.1,68.2,2.9,64.1,6.7,33.4,26.4,6.0,10.3,20.4,64.6,9.1,13.9,27.1,36.1,73.0,14.2,25.2,80.5,12.7,18.1,32.4,3.1,71.0,17.1
"Salem, OR",60.7,25.5,16.6,6.5,69.1,2.9,64.4,6.8,34.0,30.9,6.2,10.4,18.6,65.5,9.0,13.6,29.2,34.4,76.7,14.2,34.0,81.1,13.0,19.1,32.6,3.1,70.1,15.0
"College Station, TX",64.1,10.7,20.5,2.8,55.5,1.6,66.6,3.5,34.3,34.9,2.6,9.2,15.5,65.5,4.5,18.4,16.1,24.2,80.7,14.2,24.5,79.8,8.0,18.2,33.4,1.3,59.9,9.7
"Pharr, TX",62.7,19.6,13.6,4.4,63.2,3.9,49.9,6.2,27.8,24.9,6.7,8.3,16.5,45.3,14.0,43.8,31.6,39.6,77.0,14.2,34.3,80.6,15.5,33.2,34.2,3.5,73.8,16.4
"Tucson, AZ",65.8,23.8,15.6,5.7,68.4,3.3,60.8,6.7,35.0,29.6,6.2,10.8,18.8,59.6,10.0,18.0,26.8,36.6,79.0,14.1,29.0,,14.4,25.5,34.2,3.2,71.4,13.4
"High Point, NC",73.7,25.3,15.3,6.0,76.4,3.3,66.4,7.3,39.0,35.9,6.6,9.2,21.8,55.6,11.9,19.2,35.5,37.3,80.6,14.1,36.3,85.0,13.2,25.8,36.0,3.9,76.3,19.4
"Murfreesboro, TN",67.4,21.3,17.2,4.8,72.7,2.3,63.7,6.5,33.9,32.4,4.8,10.1,21.6,60.1,8.1,14.0,28.4,32.7,77.7,14.1,29.7,84.6,11.7,23.9,37.8,2.4,72.0,15.2
"El Monte, CA",62.9,17.2,14.0,4.0,66.8,3.2,51.3,5.5,21.0,26.8,5.4,8.2,15.6,48.1,12.7,24.4,28.0,35.9,76.6,14.1,25.9,80.6,14.8,29.5,39.5,3.0,67.6,15.2
"Indianapolis, IN",67.0,23.8,18.6,5.7,70.8,3.0,62.1,7.4,32.9,26.9,6.4,10.9,24.1,57.6,11.9,14.6,29.9,37.2,74.9,14.1,32.9,78.0,13.1,27.1,36.4,3.6,75.7,20.9
"Pompano Beach, FL",77.4,25.9,15.6,7.4,76.9,3.6,59.2,8.7,32.5,27.4,8.2,8.3,19.5,56.5,13.1,25.4,36.7,40.3,81.6,14.1,29.4,80.6,15.3,32.1,38.1,4.5,77.5,17.5
"Winston-Salem, NC",74.0,23.1,15.2,6.0,76.0,3.2,66.0,7.0,37.7,35.2,6.5,9.2,20.1,58.1,11.8,19.7,35.3,35.4,82.1,14.1,36.7,87.6,12.9,26.1,35.9,3.9,76.9,18.6
"Grand Rapids, MI",71.6,26.4,20.7,5.8,69.8,3.0,65.1,7.5,38.8,30.4,6.0,11.0,20.6,64.9,9.7,14.4,30.1,34.3,81.8,14.0,33.9,85.2,13.5,24.1,36.1,3.2,73.2,14.0
"Baton Rouge, LA",72.5,22.1,16.8,5.2,70.6,3.1,64.9,6.8,26.7,29.2,6.4,9.4,19.9,55.3,12.5,16.3,36.9,35.0,81.0,14.0,33.8,85.0,12.8,29.3,37.9,3.7,78.3,17.2
"Inglewood, CA",69.0,19.4,15.2,4.6,72.2,3.3,61.4,5.8,22.3,29.9,5.1,9.9,15.4,54.4,12.8,18.9,32.9,32.9,82.5,14.0,32.9,87.2,14.3,24.5,41.0,3.6,70.5,14.3
"Columbus, GA",76.7,26.6,13.9,5.8,75.6,3.3,60.1,7.5,29.2,30.3,6.4,9.5,21.4,59.3,12.9,20.2,37.7,36.5,81.6,14.0,34.3,83.9,14.1,32.2,41.4,4.0,77.2,19.6
"Wyoming, MI",70.2,26.2,22.2,5.7,71.3,2.7,64.6,7.5,38.8,31.0,5.7,10.7,21.9,66.3,8.9,14.1,28.4,34.6,80.0,14.0,33.2,84.2,13.5,23.7,36.0,2.8,71.7,14.5
"Glendale, AZ",64.9,23.8,16.4,5.5,71.6,3.1,59.4,6.5,32.9,29.3,5.8,10.4,18.9,59.9,10.0,17.4,28.2,36.1,79.1,14.0,29.8,,13.8,25.7,37.3,3.1,70.7,15.1
"Apple Valley, CA",67.4,24.9,16.2,6.8,76.7,3.5,64.2,7.8,29.0,30.3,7.3,10.1,16.8,60.1,11.9,12.9,34.2,38.5,80.9,14.0,28.1,83.0,14.7,23.2,37.7,3.8,73.1,15.7
"Escondido, CA",62.9,18.8,19.6,5.4,69.6,2.9,65.8,6.0,26.9,29.7,5.5,8.9,15.8,61.6,9.7,17.1,26.9,33.9,79.9,14.0,23.4,85.1,13.0,22.4,34.5,3.0,67.8,13.7
"Racine, WI",70.6,25.1,21.7,5.9,71.7,3.1,62.7,6.8,31.1,25.4,6.5,10.1,21.4,62.6,11.0,16.6,32.8,35.4,77.7,14.0,37.4,82.6,14.1,25.4,39.8,3.5,73.6,16.9
"Bakersfield, CA",61.7,19.1,18.8,5.0,70.7,2.9,62.0,6.1,32.5,27.7,5.4,9.5,17.2,60.9,9.9,16.4,25.4,31.5,80.2,14.0,29.3,83.0,13.1,24.0,37.2,2.9,67.2,15.2
"Kansas City, MO",71.1,25.3,18.5,5.7,72.4,2.9,64.3,7.3,34.8,34.3,6.0,10.3,22.3,59.2,11.4,16.4,33.4,37.6,79.2,14.0,33.0,81.7,13.8,24.9,38.4,3.5,76.9,18.1
"Fayetteville, NC",77.0,23.5,15.6,5.1,74.2,2.8,66.9,6.1,37.2,33.5,5.5,9.2,18.9,63.7,11.0,17.8,34.6,32.7,80.7,14.0,34.2,87.5,11.7,23.2,38.3,3.2,74.4,17.3
"Pomona, CA",63.3,16.4,16.6,4.1,68.1,2.9,56.9,5.2,23.8,29.6,4.8,8.6,14.7,54.0,10.7,21.6,25.9,32.5,79.2,13.9,27.9,84.4,13.7,24.9,37.9,2.8,65.3,13.5
"Bryan, TX",68.0,19.1,17.4,4.8,66.1,2.7,60.9,5.6,30.4,31.6,5.3,9.5,18.9,60.2,9.7,26.6,27.6,33.7,79.8,13.9,32.8,82.3,12.5,25.8,36.4,2.9,73.8,13.6
"Baltimore, MD",76.5,26.5,16.8,5.5,75.4,3.3,64.6,7.2,34.9,32.8,6.4,12.3,21.9,55.0,13.2,12.8,38.1,34.7,83.9,13.9,35.3,,12.3,28.6,43.0,4.2,78.3,19.6
"Boston, MA",74.5,17.7,22.8,4.5,71.3,2.5,64.1,5.1,27.2,28.0,4.6,11.4,16.4,66.6,8.4,9.8,25.1,28.7,84.0,13.9,22.9,85.1,10.5,19.9,35.5,2.6,72.7,16.2
"Yuma, AZ",64.7,22.5,15.7,5.6,69.0,3.3,53.1,7.1,31.4,26.3,6.9,9.9,17.6,55.8,11.5,21.6,30.6,36.9,78.5,13.9,35.2,,15.3,27.4,31.3,3.3,70.8,17.7
"Phoenix, AZ",64.3,22.6,16.5,5.2,70.7,3.1,59.7,6.1,33.7,30.3,5.5,10.3,18.6,59.3,9.8,18.9,27.5,35.4,79.5,13.9,30.1,,13.6,25.6,37.3,2.9,69.2,14.3
"Ontario, CA",62.4,16.8,18.0,4.0,69.0,2.8,58.4,5.3,24.9,26.7,4.7,9.4,15.6,56.3,10.1,20.1,26.9,33.2,81.6,13.9,28.5,83.1,13.2,24.3,39.1,2.5,64.0,16.2
"Tampa, FL",73.6,22.3,17.9,5.6,73.7,3.1,58.0,6.9,30.1,28.3,6.1,8.4,19.4,55.5,11.9,23.1,30.6,33.8,79.3,13.9,28.5,81.9,13.8,30.2,35.6,3.5,73.6,19.4
"Pasadena, TX",65.1,19.6,16.9,5.0,66.7,3.0,55.0,6.2,28.3,29.0,6.0,8.6,17.3,52.8,11.5,32.8,28.5,38.5,74.5,13.9,32.3,80.5,14.0,31.4,34.5,2.9,71.5,18.6
"Chico, CA",62.6,17.8,19.9,5.3,66.6,2.4,70.4,5.6,36.5,29.7,4.8,9.7,15.6,64.8,7.1,9.8,24.0,31.0,78.4,13.9,23.7,84.4,11.0,17.8,32.7,2.4,64.7,12.0
"Spokane, WA",62.5,24.4,17.7,6.7,69.8,3.0,65.1,7.6,36.4,33.6,6.4,11.0,19.4,60.9,9.6,10.6,29.3,37.1,79.7,13.9,30.6,,13.5,19.9,32.4,3.3,70.5,17.5
"Roanoke, VA",75.3,28.9,14.7,6.7,77.0,3.3,67.1,8.1,39.3,34.2,7.2,9.9,21.6,60.5,12.2,16.1,36.0,36.8,82.7,13.9,33.7,85.3,14.1,27.3,39.4,4.0,79.9,18.1
"Richmond, VA",73.4,22.1,17.4,5.0,71.9,3.1,63.4,6.4,31.5,33.6,5.6,10.1,20.1,62.2,11.8,16.7,33.2,33.1,84.1,13.8,32.6,83.8,12.3,26.3,38.7,3.7,77.5,18.9
"Jacksonville, NC",68.8,14.0,23.7,3.2,60.2,1.8,64.0,4.2,39.0,32.3,3.3,8.0,19.5,67.1,5.8,18.7,22.0,26.5,78.8,13.8,24.8,82.7,8.7,19.4,37.0,1.8,61.9,18.3
"Decatur, IL",70.6,30.6,17.0,7.3,74.2,3.6,58.9,8.7,32.0,27.5,8.0,10.6,21.8,56.8,12.3,12.7,37.0,39.0,74.3,13.8,37.3,82.7,15.4,30.4,34.3,4.3,78.8,18.7
"Burlington, VT",62.2,17.6,21.8,4.6,63.0,2.1,68.8,4.7,39.0,31.5,4.0,10.9,15.4,70.5,5.5,8.6,18.8,26.0,78.2,13.8,21.9,,9.6,15.9,28.6,2.0,67.5,13.3
"Jacksonville, FL",75.2,22.3,18.9,5.9,75.8,2.9,62.9,7.6,33.5,28.9,6.3,8.3,20.4,57.4,11.0,20.3,33.3,35.5,79.9,13.8,31.3,83.4,13.4,28.2,38.2,3.4,76.1,18.4
"Waukegan, IL",66.0,20.6,16.3,4.5,66.6,3.1,50.3,6.4,26.4,25.4,5.9,10.0,21.1,50.9,11.5,23.3,31.5,36.1,77.5,13.8,35.4,82.7,14.7,33.6,38.1,3.2,71.6,20.8
"Moreno Valley, CA",64.1,17.9,18.0,4.1,67.6,2.8,63.1,5.3,26.8,28.5,4.8,9.3,16.5,57.2,10.2,18.0,28.1,31.9,81.5,13.8,31.2,84.3,13.1,25.6,41.1,2.7,65.5,15.6
"Hemet, CA",68.6,29.1,14.6,8.1,73.9,4.2,66.8,9.0,29.7,29.0,9.6,9.5,16.9,57.0,13.4,16.2,37.8,40.2,79.0,13.8,30.3,83.5,16.7,28.7,37.7,4.9,75.9,18.9
"Modesto, CA",64.5,21.8,17.3,6.0,71.5,3.1,65.1,6.7,33.0,29.6,6.3,9.5,16.0,61.0,10.8,14.3,30.8,35.3,78.6,13.8,31.3,84.8,13.6,25.0,36.1,3.2,69.0,15.2
"Nashville, TN",68.6,24.8,16.5,5.4,74.6,2.7,64.8,7.1,31.0,35.0,5.6,10.4,22.0,62.2,9.9,15.5,32.9,35.6,80.1,13.8,31.6,84.6,13.1,26.1,39.6,3.0,76.0,15.9
"Hawthorne, CA",66.1,16.8,16.4,4.1,70.8,2.9,59.3,5.2,24.4,30.5,4.5,9.3,15.4,55.3,10.7,18.4,27.8,31.2,80.5,13.8,29.8,85.8,13.1,23.5,39.9,2.9,66.1,12.9
"Rockford, IL",68.3,28.7,16.6,6.7,72.5,3.4,58.2,8.2,32.1,26.7,7.4,10.4,22.8,56.3,11.9,15.5,34.9,39.0,72.4,13.8,36.3,82.5,15.2,30.3,38.8,4.0,77.6,18.6
"Vista, CA",62.3,17.5,21.0,5.0,68.6,2.7,65.5,5.5,27.2,30.1,5.0,8.7,15.5,63.1,8.8,16.1,25.5,32.4,80.1,13.8,23.1,85.4,12.1,20.9,34.5,2.6,66.2,12.5
"Union City, NJ",73.9,19.7,15.2,4.3,69.2,3.4,44.9,6.2,22.0,18.7,6.2,8.4,18.4,56.4,11.5,29.1,30.5,34.9,75.5,13.8,34.1,81.3,15.9,42.6,42.3,3.0,72.6,15.3
"Lynchburg, VA",73.6,23.7,15.6,5.9,71.0,2.9,64.0,6.7,36.4,32.6,6.1,9.7,19.0,66.2,10.4,14.6,31.3,35.4,81.7,13.7,29.9,84.4,12.2,24.7,36.4,3.4,77.5,16.7
"Oxnard, CA",60.9,16.9,17.0,4.3,67.2,2.9,62.3,5.3,27.7,28.0,5.1,8.8,15.2,56.3,10.8,22.3,26.5,32.7,79.2,13.7,28.3,84.1,13.4,26.9,37.0,2.7,66.6,14.7
"Tacoma, WA",63.3,25.5,16.5,6.1,70.0,2.9,64.8,6.5,37.8,33.1,5.9,10.6,18.2,62.1,9.7,12.0,32.1,38.4,77.3,13.7,32.6,,13.1,20.4,38.0,3.1,69.0,14.6
"Lafayette, LA",70.4,24.4,18.4,5.8,72.0,2.9,63.4,7.0,30.0,28.9,6.5,9.2,21.7,58.5,10.7,14.5,35.4,35.8,79.7,13.7,32.6,82.9,12.9,26.7,37.2,3.4,79.0,17.1
"Avondale, AZ",63.2,19.2,17.7,4.1,68.7,2.7,58.0,5.1,30.4,27.5,4.4,10.0,18.0,59.9,8.9,19.3,24.8,32.7,79.8,13.6,29.9,,12.4,24.7,38.1,2.4,65.9,14.7
"Manteca, CA",62.2,20.6,19.2,5.5,72.4,2.8,66.2,6.2,36.0,31.1,5.6,9.3,16.0,63.8,9.6,13.6,28.4,33.7,80.4,13.6,30.0,84.7,13.0,22.9,35.1,2.8,68.4,14.2
"Longview, TX",69.8,25.3,17.3,6.4,71.9,3.2,60.8,7.2,35.2,29.5,6.8,9.7,19.8,55.8,12.2,22.3,34.5,37.7,75.3,13.6,36.2,80.8,13.8,28.8,35.2,3.7,77.2,16.5
"Kennewick, WA",59.7,25.8,17.8,6.1,67.6,3.0,63.2,7.1,29.8,29.7,6.2,10.6,18.3,63.2,10.1,14.5,29.4,39.7,74.3,13.6,34.6,,13.6,20.2,33.7,3.1,68.0,16.0
"Killeen, TX",69.3,17.9,19.6,3.8,66.1,2.3,57.9,4.8,30.9,29.6,4.0,9.7,20.5,58.5,9.1,22.1,28.3,31.0,77.0,13.6,35.9,82.5,11.2,26.5,39.9,2.3,68.8,15.4
"Fontana, CA",62.7,15.9,18.2,3.8,69.4,2.7,58.5,4.9,24.4,26.3,4.4,9.3,15.2,57.5,9.8,19.3,26.3,32.3,82.0,13.6,28.2,83.3,12.6,23.6,39.5,2.4,63.4,16.4
"Kansas City, KS",65.7,23.5,14.3,5.5,66.9,3.4,54.6,7.9,29.3,23.8,6.8,10.7,25.1,51.9,12.9,25.2,35.0,38.9,73.9,13.6,43.6,78.7,13.6,35.3,37.0,4.0,75.2,21.8
"Pittsburgh, PA",71.9,27.4,22.8,5.8,71.1,2.8,61.7,6.5,46.1,37.7,5.9,10.7,20.1,58.9,9.7,9.3,30.7,34.9,79.4,13.5,30.0,81.7,12.0,22.5,39.4,3.3,77.7,17.1
"Wilmington, NC",73.2,22.7,16.6,6.2,74.4,2.9,70.2,6.4,39.9,36.8,6.1,8.9,19.2,63.2,9.7,16.0,29.1,33.3,79.9,13.5,28.8,84.9,11.8,22.6,31.6,3.2,76.9,14.0
"Eugene, OR",62.0,23.3,18.8,6.3,66.8,2.7,64.4,6.2,30.4,32.4,5.6,10.3,16.9,70.7,7.8,10.6,24.0,34.1,77.7,13.5,25.6,82.1,11.5,16.3,29.9,2.8,70.3,12.5
"Sterling Heights, MI",72.0,31.5,19.9,7.5,78.8,3.0,65.0,8.4,29.2,31.5,7.1,10.6,22.3,69.6,10.3,10.0,32.9,39.2,78.1,13.5,30.9,83.0,13.9,23.4,37.2,3.2,77.1,11.8
"Melbourne, FL",77.4,28.4,16.8,7.9,78.9,3.4,61.3,9.1,34.0,28.5,8.3,8.3,20.0,57.7,12.6,18.7,32.9,39.6,76.4,13.5,27.3,78.6,14.9,29.9,35.3,4.1,80.0,16.8
"Portsmouth, VA",77.5,27.5,14.7,6.1,77.1,3.2,68.3,7.2,36.9,33.7,6.5,10.2,22.3,60.5,12.8,15.9,38.1,35.7,83.7,13.5,36.6,86.3,13.3,28.0,44.8,4.0,79.0,19.0
"Pueblo, CO",62.4,28.3,14.3,6.6,70.9,3.6,52.4,6.9,24.3,30.9,7.2,9.7,19.1,57.5,11.0,19.9,31.6,37.6,72.9,13.5,30.0,81.3,16.1,24.2,34.2,3.8,73.3,17.7
"Lakeland, FL",77.4,30.2,13.6,7.9,77.0,3.7,67.5,9.2,35.1,31.9,8.8,8.6,18.5,56.1,13.2,22.0,36.3,40.3,82.4,13.4,35.6,83.2,15.6,32.0,35.0,4.6,81.0,18.7
"Redding, CA",65.1,24.3,17.7,7.4,74.9,3.2,66.8,7.5,35.4,29.6,7.0,9.6,17.0,59.9,9.9,8.8,30.6,35.6,76.5,13.4,25.4,82.8,13.3,20.7,31.6,3.5,73.1,14.0
"Orlando, FL",71.6,18.4,19.1,4.8,72.7,2.8,60.2,6.3,29.3,28.2,5.3,8.2,17.2,58.8,10.1,23.7,29.3,33.4,80.8,13.4,29.7,84.1,12.8,29.5,37.6,3.1,71.1,17.7
"Baytown, TX",67.7,21.3,16.9,5.5,69.3,3.0,57.7,6.4,28.6,29.1,6.3,9.0,17.5,55.4,11.7,27.2,31.3,38.9,75.4,13.4,32.5,80.9,13.5,29.4,35.2,3.1,74.2,17.7
"Fort Wayne, IN",65.2,25.0,17.8,6.2,71.5,3.0,61.2,7.5,28.1,27.6,6.9,10.9,21.8,65.1,11.1,13.4,32.2,37.2,71.9,13.4,34.8,80.1,13.5,25.7,32.8,3.4,76.5,17.7
"Turlock, CA",63.9,20.6,18.3,5.9,71.4,2.9,66.1,6.3,34.1,30.6,5.9,9.4,15.3,63.0,9.8,13.9,28.5,33.8,78.2,13.4,29.8,84.9,12.7,23.5,35.1,3.0,68.1,14.9
"Bellingham, WA",56.1,20.9,19.0,5.8,65.1,2.6,69.1,5.8,43.2,29.6,5.3,10.3,15.1,63.7,7.4,10.1,23.5,34.9,71.8,13.4,27.6,,11.2,15.3,30.1,2.6,67.5,12.1
"Albany, NY",74.3,22.9,18.5,5.3,70.5,2.6,68.4,6.3,36.8,32.0,5.4,11.9,19.5,63.7,9.4,11.0,28.9,32.1,80.8,13.4,31.0,84.6,11.6,24.6,37.7,3.0,72.8,14.5
"Wichita Falls, TX",70.3,23.2,18.2,5.6,69.7,2.9,60.6,6.7,30.4,31.5,6.3,9.1,21.2,59.4,11.7,20.6,32.0,37.9,77.0,13.4,30.5,80.7,12.8,28.7,38.2,3.2,75.5,14.6
"Deerfield Beach, FL",77.8,26.7,15.6,7.9,78.7,3.6,60.6,8.7,32.3,27.5,8.4,8.2,18.4,59.0,12.9,22.8,36.6,40.3,81.3,13.4,28.0,80.5,14.9,31.0,37.0,4.4,78.7,17.1
"Mesquite, TX",69.4,21.8,17.2,5.2,69.8,2.9,57.4,6.4,31.1,27.5,5.8,9.6,19.3,57.2,10.9,24.4,31.6,36.8,73.3,13.4,34.3,80.1,12.8,28.8,34.6,3.1,73.5,16.7
"Manchester, NH",71.5,25.8,17.9,6.3,75.0,2.6,67.6,7.1,37.4,32.5,5.8,10.9,20.8,64.0,9.0,13.2,28.5,34.6,79.2,13.4,29.5,,12.8,24.6,36.0,2.8,73.7,18.7
"New Orleans, LA",72.1,24.4,19.5,5.2,73.1,3.3,62.8,6.8,26.1,27.5,6.2,9.4,20.6,56.4,13.0,16.1,38.0,35.5,81.6,13.3,33.8,85.9,12.7,26.8,40.7,4.1,80.6,18.8
"Huntsville, AL",69.6,29.2,14.1,6.4,76.8,3.0,71.7,7.6,46.4,39.5,6.7,9.5,18.5,61.2,12.2,15.3,36.8,38.9,80.2,13.3,32.6,82.9,13.2,26.0,37.8,3.4,79.0,14.2
"Lexington, KY",74.8,25.3,18.4,5.6,72.2,2.6,70.0,7.8,42.6,36.8,6.3,11.3,20.5,65.0,9.6,7.8,32.6,33.3,80.7,13.3,32.4,85.3,13.0,24.8,39.3,2.8,76.4,15.9
"Indio, CA",64.3,21.2,16.9,5.5,69.9,3.3,66.2,6.2,30.7,30.7,6.4,8.7,15.5,57.2,11.4,21.0,30.2,35.6,80.4,13.3,31.0,84.7,14.4,27.1,38.3,3.2,68.9,14.5
