Location,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
"Macon, GA",79.4,29.0,11.8,5.8,72.7,4.3,57.9,10.0,27.7,26.8,7.9,11.2,25.7,49.7,17.3,24.9,44.8,39.2,82.2,16.4,43.1,83.9,17.5,39.0,43.6,5.8,79.3,29.1
"Springdale, AR",65.2,22.6,15.8,5.5,66.4,2.9,53.1,7.8,32.3,27.7,6.6,9.4,24.5,50.7,10.3,19.5,31.8,35.7,72.5,16.2,35.7,,15.2,34.0,36.7,3.1,73.0,23.1
"Pawtucket, RI",81.1,27.0,15.6,6.4,76.4,3.0,65.1,8.5,37.1,29.1,7.0,13.0,20.9,66.4,11.1,13.1,33.2,34.7,82.6,16.2,30.6,,15.5,31.3,41.3,3.5,77.5,16.7
"Tuscaloosa, AL",71.6,24.1,17.2,4.6,65.5,2.6,61.4,6.8,36.0,31.7,5.2,9.8,20.7,59.6,10.3,16.4,32.6,35.0,82.7,16.1,31.8,85.0,13.1,27.0,39.0,3.1,73.6,18.9
"Knoxville, TN",68.3,27.6,14.7,6.0,73.1,3.0,64.7,8.5,32.9,34.6,6.5,10.9,23.9,55.9,10.6,15.6,34.9,36.5,80.0,16.1,32.1,82.3,15.1,26.9,36.8,3.4,76.2,17.2
"Albany, GA",78.1,26.6,12.6,5.5,71.8,3.8,59.1,8.8,29.1,26.3,6.9,11.0,24.0,51.9,15.3,24.2,42.6,36.7,83.7,16.1,38.4,84.7,15.9,37.1,47.1,5.0,76.6,25.2
"Lynwood, CA",61.6,16.2,16.2,3.4,63.5,3.2,51.5,5.7,18.9,24.5,4.8,9.5,17.0,46.4,11.7,28.2,26.5,32.5,79.7,16.1,32.3,85.3,15.9,29.2,39.7,3.0,62.6,18.0
"Kalamazoo, MI",68.8,24.7,20.6,5.0,63.4,2.8,66.1,7.5,31.3,31.6,5.4,11.9,20.5,61.2,9.0,13.3,26.4,31.8,80.9,16.0,37.4,84.4,13.4,23.1,38.3,3.0,71.2,16.8
"Gary, IN",74.8,34.0,11.3,5.9,71.9,4.8,53.0,10.3,21.5,17.5,9.3,13.0,25.5,42.3,21.6,18.7,49.2,42.1,79.0,15.9,49.1,83.7,19.3,40.2,48.1,6.7,83.1,31.1
"Toledo, OH",74.6,30.8,16.8,6.0,70.6,3.4,56.9,9.4,30.6,27.2,7.8,11.1,26.2,59.2,12.8,13.2,35.6,34.3,78.0,15.9,37.3,83.9,15.2,32.5,42.9,4.1,77.2,19.7
"Syracuse, NY",72.7,26.1,18.4,5.2,68.4,3.2,60.3,8.5,33.5,29.5,6.4,12.8,23.9,55.0,12.0,13.8,28.8,33.5,79.9,15.9,35.8,82.2,14.8,30.4,39.7,3.8,73.3,23.9
"Memphis, TN",72.3,28.8,11.9,5.2,73.9,3.6,62.8,8.9,24.2,31.1,6.7,11.7,24.7,51.9,14.5,19.7,41.8,36.7,83.1,15.9,40.5,83.9,16.5,31.6,41.1,4.6,79.4,22.9
"Erie, PA",70.1,29.2,17.5,6.3,69.4,3.2,62.6,8.4,39.6,31.1,7.5,11.2,23.6,59.0,11.3,12.1,31.4,35.1,78.3,15.9,38.0,79.7,14.9,28.3,42.0,4.0,76.4,21.0
"Columbia, SC",64.0,21.0,19.2,4.3,67.6,2.6,67.6,5.8,38.9,32.9,4.7,9.4,18.3,57.1,10.1,17.7,29.4,31.1,83.6,15.8,31.5,85.4,12.3,25.5,37.6,3.1,72.3,17.1
"Newark, NJ",78.9,22.5,13.6,4.2,69.1,3.5,50.5,7.6,24.0,22.5,6.4,10.8,22.9,56.3,13.4,23.7,35.0,33.4,81.5,15.8,36.4,85.6,16.7,41.7,49.4,4.1,73.4,22.2
"North Las Vegas, NV",67.2,20.2,16.5,4.5,67.1,2.9,53.8,6.7,29.6,25.0,5.5,9.1,21.1,54.2,11.3,22.4,25.7,32.5,74.4,15.8,29.0,79.8,14.4,27.8,43.1,3.0,68.3,18.2
"Passaic, NJ",73.1,20.8,14.4,4.0,66.6,3.5,42.2,7.3,23.7,19.4,6.4,9.2,21.7,50.9,12.4,32.0,31.9,35.5,76.4,15.8,36.8,82.0,16.7,43.6,41.6,3.4,70.4,22.7
"Paterson, NJ",76.1,22.9,13.7,4.3,70.0,3.6,44.3,7.7,22.7,19.2,6.6,9.9,22.4,52.0,13.6,28.0,35.8,35.9,77.8,15.7,39.1,83.0,16.9,43.3,43.5,3.9,73.5,23.6
